date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-03-01T05:14:45.924996Z,c77bcc5e-ad22-478d-a70e-fa3a255f2f86,CAPTAIN,jeff1234567842,2026-03-01T01:51:25.559000Z,0.141,249.83,17,25,4,106,1700,1353
2026-03-01T05:14:45.924996Z,ae32ae54-c15c-4c6d-ab46-3bdcec6e2e7f,CAPTAIN,kanyo0904,2026-02-28T20:19:34.249000Z,0.372,282.83,17,1,4,202,263,544
2026-03-01T05:14:45.924996Z,3ed556ef-70ef-4d27-8bae-c2cff73f9b20,CAPTAIN,YBN,2026-02-24T21:11:10.295000Z,4.336,114.83,0,0,1,4,1745,787
2026-03-01T05:14:45.924996Z,bf6fd3d8-f0b2-4831-9dc2-77db02b015d7,CAPTAIN,Gurlic,2026-02-22T20:34:01.235000Z,6.362,243.83,6,4,2,24,944,1104
2026-03-01T05:14:45.924996Z,2ad7fd38-792d-4862-ba2a-b7e1c1723b18,CAPTAIN,wrggg,2026-02-26T22:16:44.850000Z,2.29,870.08,46,192,2,801,851,593
2026-03-01T05:14:45.924996Z,065f7a4a-e15a-4bbf-ab2f-b55051e0b6de,CAPTAIN,parrandeno,2026-02-10T02:09:44.601000Z,19.128,85.83,12,4,1,16,1030,717
2026-03-01T05:14:45.924996Z,b0135e82-95b5-432b-a008-d7a8d6829e07,CAPTAIN,EdouardpheoIII,2026-02-28T17:17:07.502000Z,0.498,1007.25,1,15,1,81,7348,1195
2026-03-01T05:14:45.924996Z,cff26bb4-bad0-4de2-8559-19d23e2d9d41,CAPTAIN,Ecmz,2026-02-28T04:36:02.130000Z,1.027,372.25,45,1,1,45,983,965
2026-03-01T05:14:45.924996Z,823ee888-e114-4ca9-9781-7086b5430a54,CAPTAIN,Liciela,2026-03-01T05:12:47.612000Z,0.001,1430.58,285,7,3,377,4688,1903
2026-03-01T05:14:45.924996Z,9ce7b212-c818-41cf-bd2a-9a2ad4f0e5df,CAPTAIN,Megawati,2026-03-01T02:54:43.740000Z,0.097,149.33,3,3,1,192,524,739
2026-03-01T05:14:45.924996Z,d0344f4e-a5fb-48ee-9359-1c82fb2320aa,CAPTAIN,gauvinsteven,2026-03-01T02:37:04.338000Z,0.11,328.58,1,0,0,1,1761,877
2026-03-01T05:14:45.924996Z,9c413f4a-9e5f-46e9-8b89-abdd46f3f74b,CAPTAIN,MelinoeNemesis,2026-02-21T15:31:06.350000Z,7.572,70.42,0,13,0,18,1387,460
2026-03-01T05:14:45.924996Z,c837e8b4-4e0a-41c4-b397-7b02f8f35f2a,RECRUITER,jayandjef,2026-03-01T05:13:18.918000Z,0.001,404.08,5,35,2,121,1147,1178
2026-03-01T05:14:45.924996Z,04be2792-d567-4c0a-aa1d-67242dbcf0a8,RECRUITER,roll_54,2026-02-27T00:24:10.536000Z,2.202,77.42,8,2,1,12,420,452
2026-03-01T05:14:45.924996Z,423997a0-9626-479c-97e5-d3517b93083c,RECRUITER,AmasoXd,2026-02-13T14:30:13.352000Z,15.614,100.5,0,0,0,16,1376,474
2026-03-01T05:14:45.924996Z,3823b995-b8fa-49f5-8c68-6d1a66bdf215,RECRUITER,JinnMD,2026-02-28T23:26:16.863000Z,0.242,1096.75,4,1,3,4,2141,1111
2026-03-01T05:14:45.924996Z,1af5a66a-9337-4e66-a69b-35d825f4a62b,RECRUITER,evbubba,2026-02-23T19:12:06.300000Z,5.419,364.58,0,0,4,38,1841,1510
