date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-02-25T01:34:41.956688Z,4bfb9baf-7347-43c8-9c4d-5c55b27c780e,RECRUIT,Ryuuchen,2026-02-21T12:44:17.087000Z,3.535,169.92,0,0,2,5,1599,1070
2026-02-25T01:34:41.956688Z,1b6b5470-e8d6-48c8-a553-5bb52395a662,RECRUIT,Kanaefx,2026-02-21T07:50:20.963000Z,3.739,135.67,0,0,2,16,275,657
2026-02-25T01:34:41.956688Z,2adb411c-37e2-491c-8afd-9a38fc4fdf06,RECRUIT,_Hammie_,2026-02-23T18:59:21.490000Z,1.275,79.17,0,0,0,3,278,689
2026-02-25T01:34:41.956688Z,502073b4-06bc-4f30-8a4f-115e6c9e35af,RECRUIT,Endyre,2026-02-24T23:25:20.081000Z,0.09,1504.92,49,14,5,136,9503,6019
2026-02-25T01:34:41.956688Z,3ee651c0-59d3-452d-a98d-214d717bef83,RECRUIT,nawe69,2026-02-18T16:41:05.317000Z,6.371,56.42,0,0,0,0,225,330
2026-02-25T01:34:41.956688Z,733e86a2-b926-4257-9658-81a990d2ac0a,RECRUIT,F1NLAY01,2026-02-09T09:58:36.858000Z,15.65,151.5,0,0,0,1,941,911
2026-02-25T01:34:41.956688Z,511c4018-f6ca-4ccb-a698-9b64b07c6ad3,RECRUIT,aIfaa,2026-02-24T11:49:28.720000Z,0.573,37.75,0,1,0,1,406,333
2026-02-25T01:34:41.956688Z,1ebcb3ff-2695-4a54-b482-a22081cb024a,RECRUIT,erik_9453,2026-02-11T03:24:11.296000Z,13.924,41.5,0,0,0,0,828,314
2026-02-25T01:34:41.956688Z,31cc44b4-4c2d-4d88-8e41-f4a4b0337346,RECRUIT,TheKzR,2026-02-24T10:01:51.382000Z,0.648,89.5,0,0,5,3,262,508
2026-02-25T01:34:41.956688Z,a4fa7dd2-7cd7-4626-b9f6-3284fc16557a,RECRUIT,GrayR0ot,2026-02-22T22:43:53.646000Z,2.119,226.5,0,0,0,1,1995,1245
2026-02-25T01:34:41.956688Z,02115748-53c2-4a43-afd7-5412d8e01f8a,RECRUIT,Budiono,2026-02-25T00:39:12.715000Z,0.039,2685.33,1611,0,3,360,12264,3266
2026-02-25T01:34:41.956688Z,94591244-b96c-4675-99fc-b4e9abfac6de,RECRUIT,cheeseball01,2026-02-21T01:39:04.909000Z,3.997,1786.58,80,71,5,342,5285,2408
2026-02-25T01:34:41.956688Z,1285f316-0b50-4d36-ae61-a02ed620c8ff,RECRUIT,skrybs,2026-02-22T01:23:09.355000Z,3.008,1170.5,0,0,1,5,7766,5045
2026-02-25T01:34:41.956688Z,e781dac3-37b9-48e8-b588-dc8b5a1e0200,RECRUIT,Bluvey,2026-02-25T01:33:33.670000Z,0.001,147.92,0,0,5,38,521,723
2026-02-25T01:34:41.956688Z,4489c7f5-9d5a-4b32-b0a3-e2dd9ae619ab,RECRUIT,Laborious,2026-02-25T00:52:08.619000Z,0.03,782.33,52,0,4,46,3126,2341
2026-02-25T20:31:13.565683Z,a8e5c7c3-444f-4436-b69f-a8db58cdf40d,OWNER,Nqn,2026-02-24T00:37:27.444000Z,1.829,593.58,400,59,2,458,1543,789
2026-02-25T20:31:13.565683Z,91be9a75-7398-47e0-8c4d-f79df2fc035f,CHIEF,Tisumi,2026-02-25T20:27:08.561000Z,0.003,954.42,477,142,2,892,2534,1945
2026-02-25T20:31:13.565683Z,5652732f-e36b-4ca4-87ca-59f9c6dc3ba1,CHIEF,_N8,2026-02-25T04:02:03.020000Z,0.687,609.75,289,8,1,72,1421,1502
2026-02-25T20:31:13.565683Z,0a19dd60-254e-4c48-9d76-1b57a2f12c7f,CHIEF,GigaFanDeJul,2026-02-24T11:21:58.673000Z,1.381,698.75,181,97,1,194,2680,1224
2026-02-25T20:31:13.565683Z,4a82c3ac-be5d-4115-a822-f2a9c7bdb096,CHIEF,Krijer1,2026-02-25T20:27:23.986000Z,0.003,583.08,165,22,5,147,3363,1745
2026-02-25T20:31:13.565683Z,bd5c1697-4d42-41dd-a4f2-2c8a3a669104,CHIEF,Shivnitzl19,2026-02-24T15:25:51.413000Z,1.212,6972.42,39,19,5,480,18850,4993
2026-02-25T20:31:13.565683Z,1a3f6b2a-993b-49ed-8542-7584081864b6,CHIEF,Xentell,2026-02-22T07:26:54.193000Z,3.545,254.92,37,9,5,49,1155,778
2026-02-25T20:31:13.565683Z,845eed02-175a-44b4-87a2-0228b1fbc3ee,CHIEF,H1V,2026-02-24T05:20:50.897000Z,1.632,1144.33,28,159,5,436,3243,3381
2026-02-25T20:31:13.565683Z,89cdeb83-0958-4563-a606-0a460e13abfa,CHIEF,ewenfi,2026-02-24T20:52:23.064000Z,0.985,954.42,71,79,2,386,1940,1956
2026-02-25T20:31:13.565683Z,4470c807-1394-4930-937d-1680d508d22d,CHIEF,KirouXD,2026-02-25T16:49:10.392000Z,0.154,371.5,92,47,3,173,1136,655
2026-02-25T20:31:13.565683Z,eb33d516-a34b-4050-bd2c-69a24bf0bd75,CHIEF,Chevacchi,2026-02-25T13:41:06.194000Z,0.285,328.58,489,7,0,23,1033,713
2026-02-25T20:31:13.565683Z,1b6568dd-4e58-442f-918f-90926f58de0c,STRATEGIST,clohi,2026-02-25T20:28:08.447000Z,0.002,2335.92,139,4,2,320,5094,2896
2026-02-25T20:31:13.565683Z,130612b6-1d46-49c7-b06e-3200959254c7,STRATEGIST,_Snoopers_,2026-02-25T20:28:07.596000Z,0.002,359.17,36,21,5,65,5262,1313
2026-02-25T20:31:13.565683Z,a8ff0b79-9511-47b7-8705-b657eba980aa,STRATEGIST,LaserX,2026-02-25T16:01:21.154000Z,0.187,735.67,73,41,5,177,3456,2116
2026-03-01T00:31:13.565683Z,f46a3aa1-ed18-48f4-bcf9-594e0ff19842,STRATEGIST,WhiteNoise0113,2026-02-25T19:23:52.135000Z,0.047,2872.75,4012,97,5,261,9528,3904
2026-03-01T00:31:13.565683Z,c32bfbf5-9665-4ad1-837e-92fa882288a3,STRATEGIST,StyNath,2026-02-25T00:23:29.763000Z,0.839,136.83,9,23,1,56,882,551
2026-02-25T20:31:13.565683Z,ce2fc852-9b0e-41d2-a323-603be70f5b69,STRATEGIST,kcsato,2026-02-19T18:29:08.979000Z,6.085,325.25,101,10,4,47,2299,1211
2026-02-25T20:31:13.565683Z,9604c081-52b1-4224-8107-b00885644c84,STRATEGIST,imNaphy,2026-02-16T19:10:01.632000Z,9.056,353.5,0,0,0,0,3518,899
2026-02-25T20:31:13.565683Z,96512a2a-4200-463e-8974-27a4c81947cd,STRATEGIST,FireGamingDK,2026-02-19T09:14:51.145000Z,6.47,422.17,97,0,3,31,3206,1620
2026-02-25T20:31:13.565683Z,a27ae078-8209-4c2e-85ea-57de6168cc9b,CAPTAIN,xEagless,2026-02-24T01:34:14.599000Z,1.79,332.58,11,24,2,140,2592,1106
2026-02-25T20:31:13.565683Z,81c0cf7a-43f9-4aaf-8783-4953970e394d,CAPTAIN,WynnDestroyer,2026-02-25T11:15:54.163000Z,0.386,231.17,0,0,1,13,1773,1445
2026-02-25T20:31:13.565683Z,b3be31d6-e441-4299-a342-685898f35f30,CAPTAIN,BlueSkyMoose,2026-02-25T15:04:10.210000Z,0.227,1537.42,33,62,5,210,8294,4383
2026-02-25T20:31:13.565683Z,06793d89-e8ea-4ec2-aa55-4c5f03b93026,CAPTAIN,MoondustPeachy,2026-02-25T20:12:08.872000Z,0.013,303.0,12,12,4,41,1810,1114
2026-02-25T20:31:13.565683Z,ae32ae54-c15c-4c6d-ab46-3bdcec6e2e7f,CAPTAIN,kanyo0904,2026-02-25T02:52:56.895000Z,0.735,261.42,17,1,4,182,263,544
2026-02-25T20:31:13.565683Z,3ed556ef-70ef-4d27-8bae-c2cff73f9b20,CAPTAIN,YBN,2026-02-24T21:11:10.295000Z,0.972,114.83,0,0,1,4,1745,787
